Probe Set ID,Gene Title,Gene Symbol
1458405_PM_at,predicted gene 5113,Gm5113
1458406_PM_at,---,---
1458407_PM_s_at,---,---
1458408_PM_at,sterile alpha motif domain containing 8,Samd8
1458409_PM_at,---,---
1458410_PM_at,"Ral GTPase activating protein, alpha subunit 1",Ralgapa1
1458411_PM_at,kinase non-catalytic C-lobe domain (KIND) containing 1,Kndc1
1458412_PM_at,zinc finger protein 78,Zfp78
1458413_PM_at,F-box and WD-40 domain protein 8,Fbxw8
1458414_PM_at,"DNA segment, Chr 2, ERATO Doi 93, expressed",D2Ertd93e
1458415_PM_at,"C-type lectin domain family 2, member e",Clec2e
1458416_PM_at,RIKEN cDNA A330048O09 gene,A330048O09Rik
1458417_PM_at,KDM3B lysine (K)-specific demethylase 3B,Kdm3b
1458418_PM_at,---,---
1458419_PM_at,RIKEN cDNA E130215H24 gene,E130215H24Rik
1458420_PM_at,ATP/GTP binding protein-like 5,Agbl5
1458421_PM_at,"potassium voltage-gated channel, subfamily Q, member 3",Kcnq3
1458422_PM_at,RIKEN cDNA D730002M21 gene,D730002M21Rik
1458423_PM_at,LUC7-like 2 (S. cerevisiae),Luc7l2
1458424_PM_at,---,---
1458425_PM_at,Riken cDNA A430046D13 gene,A430046D13Rik
1458426_PM_at,---,---
1458427_PM_at,BRCA1 interacting protein C-terminal helicase 1,Brip1
1458428_PM_at,"potassium channel, subfamily T, member 1",Kcnt1
1458429_PM_at,Rho GTPase activating protein 30,Arhgap30
1458430_PM_at,expressed sequence C87436,C87436
1458431_PM_at,"eukaryotic translation initiation factor 4, gamma 2",Eif4g2
1458432_PM_at,---,---
1458433_PM_at,---,---
1458434_PM_at,RIKEN cDNA A730009L09 gene,A730009L09Rik
1458435_PM_at,"Jpx transcript, Xist activator (non-protein coding)",Jpx
1458436_PM_at,AU RNA binding protein/enoyl-coenzyme A hydratase,Auh
1458437_PM_at,---,---
1458438_PM_at,coiled-coil domain containing 122,Ccdc122
1458439_PM_a_at,"DAZ interacting protein 3, zinc finger",Dzip3
1458440_PM_at,sperm antigen with calponin homology and coiled-coil domains 1,Specc1
1458441_PM_at,"solute carrier family 6 (neurotransmitter transporter), member 17",Slc6a17
1458442_PM_at,expressed sequence AI132709,AI132709
1458443_PM_at,CREB regulated transcription coactivator 1,Crtc1
1458444_PM_at,"--- /// predicted gene, 20204",Gm20204 /// Gm20204
1458445_PM_at,---,---
1458446_PM_at,RIKEN cDNA 3222401L13 gene,3222401L13Rik
1458447_PM_at,centromere protein F,Cenpf
1458448_PM_at,digestive organ expansion factor homolog (zebrafish),Diexf
1458449_PM_at,lysine (K)-specific demethylase 2A,Kdm2a
1458450_PM_at,zinc finger RNA binding protein,Zfr
1458451_PM_at,---,---
1458452_PM_at,ankyrin repeat domain 11,Ankrd11
1458453_PM_at,LIM domain only 7,Lmo7
1458454_PM_at,---,---
1458455_PM_at,actin-binding Rho activating protein,Abra
1458456_PM_x_at,RIKEN cDNA 6430571L13 gene,6430571L13Rik
1458457_PM_at,---,---
1458458_PM_at,schlafen 5,Slfn5
1458459_PM_a_at,RIKEN cDNA E230029C05 gene,E230029C05Rik
1458460_PM_at,---,---
1458461_PM_at,RIKEN cDNA E330021D16 gene,E330021D16Rik
1458462_PM_at,Rho GTPase activating protein 30,Arhgap30
1458463_PM_at,"predicted gene, 20033 /// ---",Gm20033 /// Gm20033
1458464_PM_at,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2",Hecw2
1458465_PM_at,PAN3 polyA specific ribonuclease subunit homolog (S. cerevisiae),Pan3
1458466_PM_at,cathepsin A,Ctsa
1458467_PM_at,keratin associated protein 22-2,Krtap22-2
1458468_PM_at,coenzyme Q10 homolog A (yeast),Coq10a
1458469_PM_at,Casitas B-lineage lymphoma b,Cblb
1458470_PM_at,--- /// RIKEN cDNA A830082K12 gene,A830082K12Rik /// A830082K12Rik
1458471_PM_at,WW domain containing adaptor with coiled-coil,Wac
1458472_PM_at,"regulatory associated protein of MTOR, complex 1",Rptor
1458473_PM_at,"POU domain, class 6, transcription factor 2",Pou6f2
1458474_PM_at,abhydrolase domain containing 17A,Abhd17a
1458475_PM_at,predicted gene 3227,Gm3227
1458476_PM_at,argonaute RISC catalytic subunit 3,Ago3
1458477_PM_at,arginine glutamic acid dipeptide (RE) repeats,Rere
1458478_PM_at,RIKEN cDNA 9230110F11 gene,9230110F11Rik
1458479_PM_at,structural maintenance of chromosomes 2,Smc2
1458480_PM_at,topoisomerase (DNA) II binding protein 1,Topbp1
1458481_PM_at,predicted gene 614,Gm614
1458482_PM_at,TNNI3 interacting kinase,Tnni3k
1458483_PM_at,RIKEN cDNA A330102I10 gene,A330102I10Rik
1458484_PM_at,RIKEN cDNA A730020M07 gene,A730020M07Rik
1458485_PM_at,F-box and leucine-rich repeat protein 7,Fbxl7
1458486_PM_at,---,---
1458487_PM_at,RIKEN cDNA C230096K16 gene /// Kruppel-like factor 3 (basic),C230096K16Rik /// Klf3
1458488_PM_at,doublecortin-like kinase 2,Dclk2
1458489_PM_at,---,---
1458490_PM_at,RIKEN cDNA 9230116N13 gene,9230116N13Rik
1458491_PM_at,zinc finger protein 949,Zfp949
1458492_PM_x_at,neurotrimin,Ntm
1458493_PM_a_at,RIKEN cDNA 2410089E03 gene,2410089E03Rik
1458494_PM_at,---,---
1458495_PM_at,---,---
1458496_PM_at,---,---
1458497_PM_at,---,---
1458498_PM_at,---,---
1458499_PM_at,phosphodiesterase 10A,Pde10a
1458500_PM_at,"family with sequence similarity 216, member B",Fam216b
1458501_PM_at,"vesicle-associated membrane protein, associated protein B and C",Vapb
1458502_PM_at,---,---
1458503_PM_at,B cell CLL/lymphoma 7A,Bcl7a
1458504_PM_at,zinc finger CCCH type containing 12D,Zc3h12d
1458505_PM_at,uncharacterized LOC552901,LOC552901
1458506_PM_at,predicted gene 626,Gm626
1458507_PM_at,"DNA segment, Chr 5, ERATO Doi 683, expressed",D5Ertd683e
1458508_PM_at,matrin 3,Matr3
1458509_PM_at,---,---
1458510_PM_at,expressed sequence AU019823,AU019823
1458511_PM_at,fibrosin-like 1,Fbrsl1
1458512_PM_at,"transducin-like enhancer of split 3, homolog of Drosophila E(spl)",Tle3
1458513_PM_at,mitogen-activated protein kinase 10,Mapk10
1458514_PM_at,expressed sequence AA536887,AA536887
1458515_PM_at,zinc finger protein 128,Zfp128
1458516_PM_at,---,---
1458517_PM_at,---,---
1458518_PM_at,cytoplasmic polyadenylation element binding protein 2,Cpeb2
1458519_PM_at,"Mus musculus 0 day neonate head cDNA, RIKEN full-length enriched library, clone:4833418G05 product:unclassifiable, full insert sequence. /// predicted gene, 19865",AK132605 /// Gm19865
1458520_PM_at,---,---
1458521_PM_at,---,---
1458522_PM_at,---,---
1458523_PM_at,"zinc finger, matrin-like",Zfml
1458524_PM_at,fibronectin type III domain containing 3A,Fndc3a
1458525_PM_at,---,---
1458526_PM_at,---,---
1458527_PM_at,---,---
1458528_PM_at,---,---
1458529_PM_at,predicted gene 4793,Gm4793
1458530_PM_at,---,---
1458531_PM_at,"DNA segment, Chr 6, ERATO Doi 588, expressed",D6Ertd588e
1458532_PM_at,5-methyltetrahydrofolate-homocysteine methyltransferase,Mtr
1458533_PM_at,RIKEN cDNA 9330169L03 gene,9330169L03Rik
1458534_PM_at,regulator of G-protein signalling 7 binding protein,Rgs7bp
1458535_PM_at,---,---
1458536_PM_at,---,---
1458537_PM_at,---,---
1458538_PM_at,---,---
1458539_PM_at,R3H domain containing 1,R3hdm1
1458540_PM_at,---,---
1458541_PM_at,dynactin 4,Dctn4
1458542_PM_at,---,---
1458543_PM_at,---,---
1458544_PM_at,cDNA sequence BC059841,BC059841
1458545_PM_at,---,---
1458546_PM_at,---,---
1458547_PM_at,---,---
1458548_PM_at,---,---
1458549_PM_at,"RIKEN cDNA gene, E330027M22Rik",E330027M22Rik
1458550_PM_at,myosin ID,Myo1d
1458551_PM_at,---,---
1458552_PM_at,RIKEN cDNA D430050E20 gene,D430050E20Rik
1458553_PM_at,"plasminogen activator, tissue",Plat
1458554_PM_at,RIKEN cDNA 9330169B04 gene,9330169B04Rik
1458555_PM_at,---,---
1458556_PM_at,---,---
1458557_PM_at,breast carcinoma amplified sequence 3,Bcas3
1458558_PM_at,---,---
1458559_PM_at,RIKEN cDNA A730028G07 gene,A730028G07Rik
1458560_PM_at,"asp (abnormal spindle)-like, microcephaly associated (Drosophila)",Aspm
1458561_PM_at,neuralized homolog 1A (Drosophila),Neurl1a
1458562_PM_at,---,---
1458563_PM_at,zinc finger protein 668,Zfp668
1458564_PM_at,---,---
1458565_PM_at,ADP-ribosylation factor-like 2,Arl2
1458566_PM_at,---,---
1458567_PM_at,RIKEN cDNA D130017N08 gene,D130017N08Rik
1458568_PM_at,---,---
1458569_PM_at,elongation factor RNA polymerase II 2,Ell2
1458570_PM_at,"alveolar soft part sarcoma chromosome region, candidate 1 (human)",Aspscr1
1458571_PM_at,RIKEN cDNA D430047D06 gene,D430047D06Rik
1458572_PM_at,charged multivesicular body protein 5,Chmp5
1458573_PM_at,---,---
1458574_PM_at,---,---
1458575_PM_at,---,---
1458576_PM_at,"N(alpha)-acetyltransferase 40, NatD catalytic subunit, homolog (S. cerevisiae)",Naa40
1458577_PM_at,---,---
1458578_PM_at,uncharacterized LOC102636448,LOC102636448
1458579_PM_at,---,---
1458580_PM_at,---,---
1458581_PM_at,uncharacterized LOC553093,LOC553093
1458582_PM_at,lin-54 homolog (C. elegans),Lin54
1458583_PM_at,RIKEN cDNA 1700123O12 gene,1700123O12Rik
1458584_PM_at,---,---
1458585_PM_at,---,---
1458586_PM_at,---,---
1458587_PM_at,RIKEN cDNA 2310047D07 gene,2310047D07Rik
1458588_PM_at,---,---
1458589_PM_at,---,---
1458590_PM_at,---,---
1458591_PM_at,RAS and EF hand domain containing,Rasef
1458592_PM_at,---,---
1458593_PM_at,fibrillin 1,Fbn1
1458594_PM_at,SNF2 histone linker PHD RING helicase,Shprh
1458595_PM_at,inturned planar cell polarity effector homolog (Drosophila),Intu
1458596_PM_at,dynactin 4,Dctn4
1458597_PM_at,uncharacterized LOC102636933,LOC102636933
1458598_PM_at,---,---
1458599_PM_at,---,---
1458600_PM_at,"Mus musculus BQ mRNA for hypothetical protein, complete cds. /// --- /// predicted gene 13344",BQ /// Gm13344 /// Gm13344
1458601_PM_at,RIKEN cDNA 8030447M02 gene,8030447M02Rik
1458602_PM_at,bobby sox homolog (Drosophila),Bbx
1458603_PM_at,---,---
1458604_PM_at,---,---
1458605_PM_at,---,---
1458606_PM_at,---,---
1458607_PM_at,---,---
1458608_PM_at,---,---
1458609_PM_at,"predicted gene, 20161",Gm20161
1458610_PM_at,---,---
1458611_PM_at,---,---
1458612_PM_at,RIKEN cDNA A930006A01 gene,A930006A01Rik
1458613_PM_at,arrestin domain containing 1,Arrdc1
1458614_PM_at,DCP1 decapping enzyme homolog B (S. cerevisiae),Dcp1b
1458615_PM_at,DEP domain containing 5,Depdc5
1458616_PM_at,---,---
1458617_PM_at,"zinc finger, MYND-type containing 8",Zmynd8
1458618_PM_at,---,---
1458619_PM_at,---,---
1458620_PM_at,predicted gene 5129,Gm5129
1458621_PM_at,WD repeat domain 78,Wdr78
1458622_PM_at,"neurotrophic tyrosine kinase, receptor, type 2",Ntrk2
1458623_PM_at,---,---
1458624_PM_at,RNA binding motif protein 24,Rbm24
1458625_PM_at,---,---
1458626_PM_at,"nitric oxide synthase 1, neuronal",Nos1
1458627_PM_at,---,---
1458628_PM_at,---,---
1458629_PM_at,---,---
1458630_PM_at,---,---
1458631_PM_at,---,---
1458632_PM_at,---,---
1458633_PM_at,---,---
1458634_PM_at,---,---
1458635_PM_at,methyltransferase like 21E,Mettl21e
1458636_PM_at,ring finger protein 219,Rnf219
1458637_PM_x_at,---,---
1458638_PM_at,metadherin,Mtdh
1458639_PM_at,---,---
1458640_PM_at,---,---
1458641_PM_at,Braf transforming gene,Braf
1458642_PM_at,killer cell lectin-like receptor family E member 1,Klre1
1458643_PM_at,deltex 1 homolog (Drosophila),Dtx1
1458644_PM_at,coiled-coil domain containing 62,Ccdc62
1458645_PM_at,---,---
1458646_PM_at,---,---
1458647_PM_at,RIKEN cDNA 6430553K19 gene,6430553K19Rik
1458648_PM_at,expressed sequence AU042950,AU042950
1458649_PM_at,expressed sequence AI662245,AI662245
1458650_PM_at,---,---
1458651_PM_at,---,---
1458652_PM_at,malectin,Mlec
1458653_PM_at,---,---
1458654_PM_at,ubiquitin protein ligase E3 component n-recognin 3,Ubr3
1458655_PM_at,---,---
1458656_PM_at,uncharacterized LOC102634450,LOC102634450
1458657_PM_at,---,---
1458658_PM_at,---,---
1458659_PM_at,predicted gene 9780 /// placenta specific 9a /// placenta specific 9b,Gm9780 /// Plac9a /// Plac9b
1458660_PM_at,expressed sequence AI414330,AI414330
1458661_PM_at,---,---
1458662_PM_at,dishevelled associated activator of morphogenesis 1,Daam1
1458663_PM_at,---,---
1458664_PM_at,RIKEN cDNA A430103D13 gene,A430103D13Rik
1458665_PM_at,---,---
1458666_PM_at,autophagy related 13,Atg13
1458667_PM_at,ninein-like,Ninl
1458668_PM_at,tumor protein D52,Tpd52
1458669_PM_at,"1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)",Agpat5
1458670_PM_at,"adenosine deaminase, RNA-specific, B2",Adarb2
1458671_PM_at,uncharacterized LOC102639781,LOC102639781
1458672_PM_at,uncharacterized LOC102636844,LOC102636844
1458673_PM_at,---,---
1458674_PM_at,---,---
1458675_PM_at,---,---
1458676_PM_at,natural killer tumor recognition sequence,Nktr
1458677_PM_at,ectonucleoside triphosphate diphosphohydrolase 5,Entpd5
1458678_PM_at,"NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1",Ndufab1
1458679_PM_a_at,TatD DNase domain containing 1,Tatdn1
1458680_PM_at,hephaestin-like 1,Hephl1
1458681_PM_at,---,---
1458682_PM_at,ubinuclein 2,Ubn2
1458683_PM_at,signal-regulatory protein beta 1A,Sirpb1a
1458684_PM_at,---,---
1458685_PM_at,"Ral GTPase activating protein, alpha subunit 1",Ralgapa1
1458686_PM_at,---,---
1458687_PM_at,predicted gene 9564,Gm9564
1458688_PM_at,Rho GTPase activating protein 28,Arhgap28
1458689_PM_at,---,---
1458690_PM_at,membrane-associated ring finger (C3HC4) 7,March7
1458691_PM_at,---,---
1458692_PM_at,---,---
1458693_PM_at,---,---
1458694_PM_at,kinesin family member 16B,Kif16b
1458695_PM_at,zinc finger and BTB domain containing 10,Zbtb10
1458696_PM_at,"ARP1 actin-related protein 1A, centractin alpha",Actr1a
1458697_PM_at,---,---
1458698_PM_at,---,---
1458699_PM_at,---,---
1458700_PM_at,---,---
1458701_PM_at,glycerophosphocholine phosphodiesterase GDE1 homolog (S. cerevisiae),Gpcpd1
1458702_PM_at,RIKEN cDNA 2610316D01 gene,2610316D01Rik
1458703_PM_at,---,---
1458704_PM_at,---,---
1458705_PM_at,RIKEN cDNA 1700031C06 gene,1700031C06Rik
1458706_PM_at,---,---
1458707_PM_at,RIKEN cDNA E430016F16 gene,E430016F16Rik
1458708_PM_at,---,---
1458709_PM_a_at,ataxin 7-like 1,Atxn7l1
1458710_PM_at,---,---
1458711_PM_at,---,---
1458712_PM_at,---,---
1458713_PM_at,---,---
1458714_PM_at,RIKEN cDNA 1700093C20 gene,1700093C20Rik
1458715_PM_at,caspase 6,Casp6
1458716_PM_at,dual specificity phosphatase 27 (putative),Dusp27
1458717_PM_at,uncharacterized LOC102635234,LOC102635234
1458718_PM_at,transmembrane protein 156,Tmem156
1458719_PM_at,---,---
1458720_PM_at,---,---
1458721_PM_at,"predicted gene, 24401",Gm24401
1458722_PM_at,---,---
1458723_PM_at,---,---
1458724_PM_at,RIKEN cDNA E230008O15 gene,E230008O15Rik
1458725_PM_at,---,---
1458726_PM_at,expressed sequence C87033,C87033
1458727_PM_at,---,---
1458728_PM_at,---,---
1458729_PM_at,---,---
1458730_PM_at,"predicted gene, 20066",Gm20066
1458731_PM_at,---,---
1458732_PM_at,---,---
1458733_PM_at,---,---
1458734_PM_at,expressed sequence C78128,C78128
1458735_PM_at,---,---
1458736_PM_at,---,---
1458737_PM_at,expressed sequence C77097,C77097
1458738_PM_at,---,---
1458739_PM_at,---,---
1458740_PM_at,---,---
1458741_PM_at,---,---
1458742_PM_at,latrophilin 3,Lphn3
1458743_PM_at,---,---
1458744_PM_at,---,---
1458745_PM_at,"DNA segment, Chr 18, ERATO Doi 201, expressed",D18Ertd201e
1458746_PM_at,---,---
1458747_PM_at,---,---
1458748_PM_at,RNA binding motif protein 27,Rbm27
1458749_PM_at,---,---
1458750_PM_at,"predicted gene, 17250",Gm17250
1458751_PM_at,---,---
1458752_PM_at,---,---
1458753_PM_at,Rho guanine nucleotide exchange factor (GEF) 33,Arhgef33
1458754_PM_at,---,---
1458755_PM_at,---,---
1458756_PM_at,---,---
1458757_PM_at,---,---
1458758_PM_at,---,---
1458759_PM_at,---,---
1458760_PM_at,---,---
1458761_PM_at,DDRGK domain containing 1,Ddrgk1
1458762_PM_at,expressed sequence AU015230,AU015230
1458763_PM_at,expressed sequence C78024,C78024
1458764_PM_at,---,---
1458765_PM_at,---,---
1458766_PM_at,---,---
1458767_PM_at,---,---
1458768_PM_at,expressed sequence C79946,C79946
1458769_PM_at,"DNA segment, Chr 7, ERATO Doi 558, expressed",D7Ertd558e
1458770_PM_at,"DNA segment, Chr 11, ERATO Doi 4, expressed",D11Ertd4e
1458771_PM_at,---,---
1458772_PM_at,---,---
1458773_PM_at,---,---
1458774_PM_at,---,---
1458775_PM_at,---,---
1458776_PM_at,---,---
1458777_PM_at,"solute carrier family 18 (vesicular monoamine), member 1",Slc18a1
1458778_PM_at,---,---
1458779_PM_at,RIKEN cDNA 8030445P17 gene,8030445P17Rik
1458780_PM_at,"DNA segment, Chr 8, ERATO Doi 620, expressed",D8Ertd620e
1458781_PM_at,---,---
1458782_PM_at,---,---
1458783_PM_at,---,---
1458784_PM_at,expressed sequence C78148,C78148
1458785_PM_at,---,---
1458786_PM_at,expressed sequence C79250,C79250
1458787_PM_at,---,---
1458788_PM_at,---,---
1458789_PM_at,---,---
1458790_PM_at,---,---
1458791_PM_at,expressed sequence AU015849,AU015849
1458792_PM_at,"DNA segment, Chr 12, ERATO Doi 208, expressed",D12Ertd208e
1458793_PM_at,---,---
1458794_PM_at,---,---
1458795_PM_at,---,---
1458796_PM_at,---,---
1458797_PM_at,---,---
1458798_PM_at,---,---
1458799_PM_at,RIKEN cDNA A330033J07 gene,A330033J07Rik
1458800_PM_at,---,---
1458801_PM_at,expressed sequence AU022320,AU022320
1458802_PM_at,human immunodeficiency virus type I enhancer binding protein 3,Hivep3
1458803_PM_at,schlafen 9,Slfn9
1458804_PM_at,---,---
1458805_PM_at,---,---
1458806_PM_at,---,---
1458807_PM_at,erythrocyte protein band 4.1,Epb4.1
1458808_PM_at,---,---
1458809_PM_at,---,---
1458810_PM_at,---,---
1458811_PM_at,RIKEN cDNA 9430047L24 gene,9430047L24Rik
1458812_PM_at,---,---
1458813_PM_at,"sodium channel, voltage-gated, type V, alpha",Scn5a
1458814_PM_at,expressed sequence AU022855,AU022855
1458815_PM_at,expressed sequence AU021884,AU021884
1458816_PM_at,---,---
1458817_PM_at,---,---
1458818_PM_at,"DNA segment, Chr 3, ERATO Doi 162, expressed",D3Ertd162e
1458819_PM_at,---,---
1458820_PM_at,zinc finger protein 560,Zfp560
1458821_PM_at,---,---
1458822_PM_at,---,---
1458823_PM_at,---,---
1458824_PM_at,unc-45 homolog A (C. elegans),Unc45a
1458825_PM_at,---,---
1458826_PM_at,expressed sequence C78809,C78809
1458827_PM_at,---,---
1458828_PM_at,"vesicular, overexpressed in cancer, prosurvival protein 1",Vopp1
1458829_PM_at,---,---
1458830_PM_at,fibroblast growth factor 14,Fgf14
1458831_PM_at,---,---
1458832_PM_at,---,---
1458833_PM_at,neuron-glia-CAM-related cell adhesion molecule,Nrcam
1458834_PM_at,---,---
1458835_PM_at,---,---
1458836_PM_at,calbindin 1,Calb1
1458837_PM_at,RIKEN cDNA 2810006K23 gene,2810006K23Rik
1458838_PM_at,RIKEN cDNA 4732468M13 gene,4732468M13Rik
1458839_PM_at,exocyst complex component 8,Exoc8
1458840_PM_at,---,---
1458841_PM_at,---,---
1458842_PM_at,teneurin transmembrane protein 1,Tenm1
1458843_PM_at,DEP domain containing 5,Depdc5
1458844_PM_at,---,---
1458845_PM_at,"DNA segment, Chr 4, ERATO Doi 264, expressed",D4Ertd264e
1458846_PM_at,---,---
1458847_PM_at,---,---
1458848_PM_at,---,---
1458849_PM_at,N-acylsphingosine amidohydrolase 2,Asah2
1458850_PM_at,---,---
1458851_PM_at,---,---
1458852_PM_at,---,---
1458853_PM_at,---,---
1458854_PM_at,expressed sequence C78891,C78891
1458855_PM_at,"DNA segment, Chr 11, ERATO Doi 49, expressed",D11Ertd49e
1458856_PM_at,---,---
1458857_PM_at,---,---
1458858_PM_at,---,---
1458859_PM_at,---,---
1458860_PM_at,---,---
1458861_PM_at,"glutamate receptor, metabotropic 7",Grm7
1458862_PM_at,expressed sequence C78704,C78704
1458863_PM_at,RIKEN cDNA 6330415G19 gene,6330415G19Rik
1458864_PM_at,---,---
1458865_PM_at,---,---
1458866_PM_at,transmembrane protein 215,Tmem215
1458867_PM_at,EGF-like repeats and discoidin I-like domains 3,Edil3
1458868_PM_at,---,---
1458869_PM_at,RIKEN cDNA 2900076A13 gene,2900076A13Rik
1458870_PM_x_at,MYC binding protein 2,Mycbp2
1458871_PM_at,"transmembrane protease, serine 11e",Tmprss11e
1458872_PM_at,---,---
1458873_PM_at,"asp (abnormal spindle)-like, microcephaly associated (Drosophila)",Aspm
1458874_PM_at,---,---
1458875_PM_at,---,---
1458876_PM_at,---,---
1458877_PM_at,---,---
1458878_PM_at,Yamaguchi sarcoma viral (v-yes) oncogene homolog 1,Yes1
1458879_PM_at,expressed sequence C76798,C76798
1458880_PM_at,uncharacterized LOC102634130,LOC102634130
1458881_PM_at,RIKEN cDNA 9530001P21 gene,9530001P21Rik
1458882_PM_at,"serine (or cysteine) peptidase inhibitor, clade B, member 8",Serpinb8
1458883_PM_at,---,---
1458884_PM_at,---,---
1458885_PM_at,---,---
1458886_PM_at,---,---
1458887_PM_at,transcription factor 21,Tcf21
1458888_PM_at,predicted gene 11696,Gm11696
1458889_PM_at,Ena-vasodilator stimulated phosphoprotein,Evl
1458890_PM_at,RIKEN cDNA D030055H07 gene,D030055H07Rik
1458891_PM_at,---,---
1458892_PM_at,RIKEN cDNA 9430047G12 gene,9430047G12Rik
1458893_PM_at,---,---
1458894_PM_at,---,---
1458895_PM_at,"N(alpha)-acetyltransferase 11, NatA catalytic subunit",Naa11
1458896_PM_at,glucocorticoid modulatory element binding protein 1,Gmeb1
1458897_PM_at,uronyl-2-sulfotransferase,Ust
1458898_PM_at,---,---
1458899_PM_at,ubiquitin specific peptidase 53,Usp53
1458900_PM_at,---,---
1458901_PM_at,---,---
1458902_PM_at,---,---
1458903_PM_at,myocardial infarction associated transcript (non-protein coding),Miat
1458904_PM_at,"frizzled homolog 6 (Drosophila) /// predicted gene, 26704",Fzd6 /// Gm26704
1458905_PM_x_at,---,---
1458906_PM_at,"chloride channel, nucleotide-sensitive, 1A",Clns1a
1458907_PM_at,---,---
1458908_PM_at,---,---
1458909_PM_at,RIKEN cDNA 1810010D01 gene,1810010D01Rik
1458910_PM_at,---,---
1458911_PM_at,sperm flagellar 2,Spef2
1458912_PM_at,---,---
1458913_PM_at,RIKEN cDNA 4831440E17 gene,4831440E17Rik
1458914_PM_at,Era (G-protein)-like 1 (E. coli),Eral1
1458915_PM_at,expressed sequence C77949,C77949
1458916_PM_at,---,---
1458917_PM_at,---,---
1458918_PM_at,"solute carrier family 12 (potassium/chloride transporters), member 8",Slc12a8
1458919_PM_at,"muskelin 1, intracellular mediator containing kelch motifs",Mkln1
1458920_PM_at,---,---
1458921_PM_at,uncharacterized LOC434348,LOC434348
1458922_PM_at,mitogen-activated protein kinase kinase kinase 9,Map3k9
1458923_PM_at,---,---
1458924_PM_at,RIKEN cDNA D430013B06 gene,D430013B06Rik
1458925_PM_at,zinc finger protein 82,Zfp82
1458926_PM_at,"family with sequence similarity 133, member B",Fam133b
1458927_PM_at,---,---
1458928_PM_at,---,---
1458929_PM_at,"ATP-binding cassette, sub-family A (ABC1), member 9",Abca9
1458930_PM_at,"alpha-1,4-N-acetylglucosaminyltransferase",A4gnt
1458931_PM_at,RIKEN cDNA 6030427F01 gene,6030427F01Rik
1458932_PM_at,peroxisomal biogenesis factor 5-like,Pex5l
1458933_PM_at,"solute carrier family 22 (organic anion/cation transporter), member 15",Slc22a15
1458934_PM_at,"DNA segment, Chr 5, ERATO Doi 505, expressed",D5Ertd505e
1458935_PM_at,expressed sequence C79744,C79744
1458936_PM_at,---,---
1458937_PM_at,TSPY-like 4,Tspyl4
1458938_PM_at,programmed cell death 10,Pdcd10
1458939_PM_at,---,---
1458940_PM_at,RIKEN cDNA 5730507A11 gene,5730507A11Rik
1458941_PM_at,zinc finger E-box binding homeobox 2,Zeb2
1458942_PM_at,"protein phosphatase 1, regulatory (inhibitor) subunit 9A",Ppp1r9a
1458943_PM_at,---,---
1458944_PM_at,predicted gene 4251,Gm4251
1458945_PM_at,expressed sequence AU015148,AU015148
1458946_PM_at,---,---
1458947_PM_at,---,---
1458948_PM_at,RIKEN cDNA D630013N20 gene /// phytanoyl-CoA hydroxylase interacting protein-like,D630013N20Rik /// Phyhipl
1458949_PM_at,RIKEN cDNA 5330434G04 gene,5330434G04Rik
1458950_PM_at,---,---
1458951_PM_at,vaccinia related kinase 1,Vrk1
1458952_PM_at,WD repeat and FYVE domain containing 3,Wdfy3
1458953_PM_at,"DNA segment, Chr 5, ERATO Doi 215, expressed",D5Ertd215e
1458954_PM_at,predicted gene 13308,Gm13308
1458955_PM_at,eukaryotic translation elongation factor 1 gamma /// elongation factor 1-gamma-like,Eef1g /// LOC101055956
1458956_PM_at,PITPNM family member 3,Pitpnm3
1458957_PM_at,---,---
1458958_PM_at,"immunoglobulin superfamily, DCC subclass, member 4",Igdcc4
1458959_PM_at,"AF4/FMR2 family, member 4",Aff4
1458960_PM_at,---,---
1458961_PM_at,eyes absent 3 homolog (Drosophila),Eya3
1458962_PM_at,transmembrane emp24 protein transport domain containing 5,Tmed5
1458963_PM_at,tetratricopeptide repeat domain 39B,Ttc39b
1458964_PM_at,---,---
1458965_PM_at,---,---
1458966_PM_at,expressed sequence C80278,C80278
1458967_PM_at,---,---
1458968_PM_at,expressed sequence C80283,C80283
1458969_PM_at,expressed sequence AU019559,AU019559
1458970_PM_at,---,---
1458971_PM_at,---,---
1458972_PM_at,RIKEN cDNA 9330112F22 gene,9330112F22Rik
1458973_PM_at,---,---
1458974_PM_at,---,---
1458975_PM_at,---,---
1458976_PM_at,RIKEN cDNA C230035I16 gene,C230035I16Rik
1458977_PM_at,Riken cDNA A530021J07 gene,A530021J07Rik
1458978_PM_at,"--- /// predicted gene, 19980",Gm19980 /// Gm19980
1458979_PM_at,OTU domain containing 7A,Otud7a
1458980_PM_at,---,---
1458981_PM_at,---,---
1458982_PM_at,expressed sequence AU014965,AU014965
1458983_PM_at,expressed sequence AU015559,AU015559
1458984_PM_at,---,---
1458985_PM_at,furry homolog (Drosophila),Fry
1458986_PM_at,RIKEN cDNA 4930534H18 gene,4930534H18Rik
1458987_PM_at,cyclin-dependent kinase 7,Cdk7
1458988_PM_at,---,---
1458989_PM_at,---,---
1458990_PM_at,---,---
1458991_PM_at,---,---
1458992_PM_at,---,---
1458993_PM_at,expressed sequence AU022882,AU022882
